accuracy,precision,recall,f1,mcc,auc_pr,e_accuracy,n_samples,fold,feature_mode
0.6098149637972646,0.609353681742423,0.6098149637972646,0.6093315033647335,0.5080002641876628,0.6410069324226376,0.8998390989541432,2486,1,full
0.6098149637972646,0.6101838154474711,0.6098149637972646,0.6086929632070527,0.5066197444802205,0.645140973248226,0.9050683829444892,2486,2,full
0.5969428801287209,0.5964304577595245,0.5969428801287209,0.5962617715147321,0.4922228550871815,0.6347967631333112,0.9050683829444892,2486,3,full
0.5959758551307847,0.5963402100112966,0.5959758551307847,0.5957619559523372,0.4905219560190842,0.623405136277213,0.9030181086519116,2485,4,full
0.6048289738430583,0.6049117854965228,0.6048289738430583,0.6044077062493183,0.5037533593012575,0.6427380643006979,0.9054325955734408,2485,5,full
0.4879324215607401,0.4885052640100958,0.4879324215607401,0.4881306631517224,0.3558829788221023,0.5189549148004667,0.8455349959774738,2486,1,sequence
0.4798873692679002,0.4796292626807364,0.4798873692679002,0.4782636540694741,0.3454547375362278,0.5116687122778959,0.8479485116653258,2486,2,sequence
0.4875301689460981,0.4871761538245363,0.4875301689460981,0.4873209622445126,0.354463260899487,0.5255416281597246,0.8596138374899437,2486,3,sequence
0.4708249496981891,0.4709973821757158,0.4708249496981891,0.4706133008727809,0.3335947087310959,0.5098258319091582,0.8498993963782696,2485,4,sequence
0.5046277665995976,0.5128726262332423,0.5046277665995976,0.5024923519234602,0.3806847317539127,0.5377858843278707,0.8527162977867203,2485,5,sequence
0.3946098149637972,0.4074698874565054,0.3946098149637972,0.3952474071830155,0.2532439830318648,0.410835483749307,0.7847948511665326,2486,1,substrate
0.411504424778761,0.416865229662815,0.411504424778761,0.4101716216880902,0.2699678804874006,0.4349019068844751,0.7888173773129525,2486,2,substrate
0.3801287208366854,0.3950225687395077,0.3801287208366854,0.379213727398113,0.2388148546160264,0.4056519292963745,0.7739340305711987,2486,3,substrate
0.3822937625754527,0.3889359313745527,0.3822937625754527,0.3821251059660036,0.2344014886571399,0.4054195307189721,0.7774647887323943,2485,4,substrate
0.4016096579476861,0.4146288718596987,0.4016096579476861,0.4017825074220932,0.2629791987405157,0.4303532482362889,0.7847082494969819,2485,5,substrate
